dataset,routine_id,run_id,baseline_execution_id,optimized_execution_id,device_side_field_total,device_side_field_matched,platform_side_field_total,platform_side_field_matched,routine_level_state_match,required_event_total,required_event_matched,intermediate_event_match,exception_match,resource_lifecycle_total,resource_lifecycle_matched,resource_lifecycle_match,timing_only_difference,independent_oracle_pass,invalid_run,invalid_reason,mismatch_type,mismatch_detail
smart-home,212,3,smart-home:212:run3:baseline,smart-home:212:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,212,4,smart-home:212:run4:baseline,smart-home:212:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,212,5,smart-home:212:run5:baseline,smart-home:212:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,248,1,smart-home:248:run1:baseline,smart-home:248:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,248,2,smart-home:248:run2:baseline,smart-home:248:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,248,3,smart-home:248:run3:baseline,smart-home:248:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,248,4,smart-home:248:run4:baseline,smart-home:248:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,248,5,smart-home:248:run5:baseline,smart-home:248:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,202,1,smart-home:202:run1:baseline,smart-home:202:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,202,2,smart-home:202:run2:baseline,smart-home:202:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,202,3,smart-home:202:run3:baseline,smart-home:202:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,202,4,smart-home:202:run4:baseline,smart-home:202:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,202,5,smart-home:202:run5:baseline,smart-home:202:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
smart-home,205,1,smart-home:205:run1:baseline,smart-home:205:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,205,2,smart-home:205:run2:baseline,smart-home:205:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,205,3,smart-home:205:run3:baseline,smart-home:205:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,205,4,smart-home:205:run4:baseline,smart-home:205:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,205,5,smart-home:205:run5:baseline,smart-home:205:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
smart-home,240,1,smart-home:240:run1:baseline,smart-home:240:run1:optimized,1,1,2,2,1,2,2,1,1,2,2,1,1,1,0,,,
smart-home,240,2,smart-home:240:run2:baseline,smart-home:240:run2:optimized,1,1,2,2,1,2,2,1,1,2,2,1,1,1,0,,,
smart-home,240,3,smart-home:240:run3:baseline,smart-home:240:run3:optimized,1,1,2,2,1,2,2,1,1,2,2,1,1,1,0,,,
smart-home,240,4,smart-home:240:run4:baseline,smart-home:240:run4:optimized,1,1,2,2,1,2,2,1,1,2,2,1,1,1,0,,,
smart-home,240,5,smart-home:240:run5:baseline,smart-home:240:run5:optimized,1,1,2,2,1,2,2,1,1,2,2,1,1,1,0,,,
smart-home,vdev_morning_wakeup_readiness_01,1,smart-home:vdev_morning_wakeup_readiness_01:run1:baseline,smart-home:vdev_morning_wakeup_readiness_01:run1:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_morning_wakeup_readiness_01,2,smart-home:vdev_morning_wakeup_readiness_01:run2:baseline,smart-home:vdev_morning_wakeup_readiness_01:run2:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_morning_wakeup_readiness_01,3,smart-home:vdev_morning_wakeup_readiness_01:run3:baseline,smart-home:vdev_morning_wakeup_readiness_01:run3:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_morning_wakeup_readiness_01,4,smart-home:vdev_morning_wakeup_readiness_01:run4:baseline,smart-home:vdev_morning_wakeup_readiness_01:run4:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_morning_wakeup_readiness_01,5,smart-home:vdev_morning_wakeup_readiness_01:run5:baseline,smart-home:vdev_morning_wakeup_readiness_01:run5:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_weekend_whole_home_snapshot_01,1,smart-home:vdev_weekend_whole_home_snapshot_01:run1:baseline,smart-home:vdev_weekend_whole_home_snapshot_01:run1:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_weekend_whole_home_snapshot_01,2,smart-home:vdev_weekend_whole_home_snapshot_01:run2:baseline,smart-home:vdev_weekend_whole_home_snapshot_01:run2:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_weekend_whole_home_snapshot_01,3,smart-home:vdev_weekend_whole_home_snapshot_01:run3:baseline,smart-home:vdev_weekend_whole_home_snapshot_01:run3:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_weekend_whole_home_snapshot_01,4,smart-home:vdev_weekend_whole_home_snapshot_01:run4:baseline,smart-home:vdev_weekend_whole_home_snapshot_01:run4:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_weekend_whole_home_snapshot_01,5,smart-home:vdev_weekend_whole_home_snapshot_01:run5:baseline,smart-home:vdev_weekend_whole_home_snapshot_01:run5:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_vacation_departure_final_audit_01,1,smart-home:vdev_vacation_departure_final_audit_01:run1:baseline,smart-home:vdev_vacation_departure_final_audit_01:run1:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_vacation_departure_final_audit_01,2,smart-home:vdev_vacation_departure_final_audit_01:run2:baseline,smart-home:vdev_vacation_departure_final_audit_01:run2:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_vacation_departure_final_audit_01,3,smart-home:vdev_vacation_departure_final_audit_01:run3:baseline,smart-home:vdev_vacation_departure_final_audit_01:run3:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_vacation_departure_final_audit_01,4,smart-home:vdev_vacation_departure_final_audit_01:run4:baseline,smart-home:vdev_vacation_departure_final_audit_01:run4:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
smart-home,vdev_vacation_departure_final_audit_01,5,smart-home:vdev_vacation_departure_final_audit_01:run5:baseline,smart-home:vdev_vacation_departure_final_audit_01:run5:optimized,3,3,4,4,1,4,4,1,1,3,3,1,0,1,0,,,
long-chain,189,1,long-chain:189:run1:baseline,long-chain:189:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,189,2,long-chain:189:run2:baseline,long-chain:189:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,189,3,long-chain:189:run3:baseline,long-chain:189:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,189,4,long-chain:189:run4:baseline,long-chain:189:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,189,5,long-chain:189:run5:baseline,long-chain:189:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,86,1,long-chain:86:run1:baseline,long-chain:86:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,86,2,long-chain:86:run2:baseline,long-chain:86:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,86,3,long-chain:86:run3:baseline,long-chain:86:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,86,4,long-chain:86:run4:baseline,long-chain:86:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,86,5,long-chain:86:run5:baseline,long-chain:86:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,122,1,long-chain:122:run1:baseline,long-chain:122:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,122,2,long-chain:122:run2:baseline,long-chain:122:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,122,3,long-chain:122:run3:baseline,long-chain:122:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,122,4,long-chain:122:run4:baseline,long-chain:122:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,122,5,long-chain:122:run5:baseline,long-chain:122:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,154,1,long-chain:154:run1:baseline,long-chain:154:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,154,2,long-chain:154:run2:baseline,long-chain:154:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,154,3,long-chain:154:run3:baseline,long-chain:154:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,154,4,long-chain:154:run4:baseline,long-chain:154:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,154,5,long-chain:154:run5:baseline,long-chain:154:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,210,1,long-chain:210:run1:baseline,long-chain:210:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,210,2,long-chain:210:run2:baseline,long-chain:210:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,210,3,long-chain:210:run3:baseline,long-chain:210:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,210,4,long-chain:210:run4:baseline,long-chain:210:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,210,5,long-chain:210:run5:baseline,long-chain:210:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,234,1,long-chain:234:run1:baseline,long-chain:234:run1:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,234,2,long-chain:234:run2:baseline,long-chain:234:run2:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,234,3,long-chain:234:run3:baseline,long-chain:234:run3:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,234,4,long-chain:234:run4:baseline,long-chain:234:run4:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,234,5,long-chain:234:run5:baseline,long-chain:234:run5:optimized,1,1,2,2,1,2,2,1,1,0,0,1,1,1,0,,,
long-chain,205,1,long-chain:205:run1:baseline,long-chain:205:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,205,2,long-chain:205:run2:baseline,long-chain:205:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,205,3,long-chain:205:run3:baseline,long-chain:205:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,205,4,long-chain:205:run4:baseline,long-chain:205:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,205,5,long-chain:205:run5:baseline,long-chain:205:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,215,1,long-chain:215:run1:baseline,long-chain:215:run1:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,215,2,long-chain:215:run2:baseline,long-chain:215:run2:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,215,3,long-chain:215:run3:baseline,long-chain:215:run3:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,215,4,long-chain:215:run4:baseline,long-chain:215:run4:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,215,5,long-chain:215:run5:baseline,long-chain:215:run5:optimized,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,,,
long-chain,203,1,long-chain:203:run1:baseline,long-chain:203:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,203,2,long-chain:203:run2:baseline,long-chain:203:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,203,3,long-chain:203:run3:baseline,long-chain:203:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,203,4,long-chain:203:run4:baseline,long-chain:203:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,203,5,long-chain:203:run5:baseline,long-chain:203:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,213,1,long-chain:213:run1:baseline,long-chain:213:run1:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,213,2,long-chain:213:run2:baseline,long-chain:213:run2:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,213,3,long-chain:213:run3:baseline,long-chain:213:run3:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,213,4,long-chain:213:run4:baseline,long-chain:213:run4:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
long-chain,213,5,long-chain:213:run5:baseline,long-chain:213:run5:optimized,2,2,3,3,1,3,3,1,1,1,1,1,1,1,0,,,
